subject,region,n_electrodes,condition,layer,model,observed_r2,p_value,n_permutations_used
1,G_front_sup,5,GS,late,BERT,0.10847073793411255,0.001998001998001998,1000
1,G_front_sup,5,GS,late,GPT,0.09780430793762207,0.052947052947052944,1000
1,G_front_sup,5,GS,late,T5,-0.026938557624816895,0.12887112887112886,1000
1,G_front_sup,5,GS,last,BERT,0.07664376497268677,0.004995004995004995,1000
1,G_front_sup,5,GS,last,GPT,0.07766348123550415,0.0899100899100899,1000
1,G_front_sup,5,GS,last,T5,0.01814800500869751,0.004995004995004995,1000
1,G_front_sup,5,GNS,early,BERT,-0.11526274681091309,0.8301698301698301,1000
1,G_front_sup,5,GNS,early,GPT,-0.22864365577697754,0.6233766233766234,1000
1,G_front_sup,5,GNS,early,T5,-0.21557819843292236,0.5104895104895105,1000
1,G_front_sup,5,GNS,middle,BERT,-0.15521764755249023,0.8761238761238761,1000
1,G_front_sup,5,GNS,middle,GPT,-0.21359848976135254,0.5344655344655345,1000
1,G_front_sup,5,GNS,middle,T5,-0.18716847896575928,0.4035964035964036,1000
1,G_front_sup,5,GNS,late,BERT,-0.1859043836593628,0.9300699300699301,1000
1,G_front_sup,5,GNS,late,GPT,-0.21345698833465576,0.5254745254745254,1000
1,G_front_sup,5,GNS,late,T5,-0.21329116821289062,0.44955044955044954,1000
1,G_front_sup,5,GNS,last,BERT,-0.13493084907531738,0.906093906093906,1000
1,G_front_sup,5,GNS,last,GPT,-0.21169257164001465,0.5734265734265734,1000
1,G_front_sup,5,GNS,last,T5,-0.09504783153533936,0.8021978021978022,1000
1,G_front_sup,5,NGNS,early,BERT,-0.21239960193634033,0.0999000999000999,1000
1,G_front_sup,5,NGNS,early,GPT,-0.45529496669769287,0.7662337662337663,1000
1,G_front_sup,5,NGNS,early,T5,-0.674919605255127,0.6983016983016983,1000
1,G_front_sup,5,NGNS,middle,BERT,-0.21609091758728027,0.22777222777222778,1000
1,G_front_sup,5,NGNS,middle,GPT,-0.46395838260650635,0.7772227772227772,1000
1,G_front_sup,5,NGNS,middle,T5,-0.7377187013626099,0.7912087912087912,1000
1,G_front_sup,5,NGNS,late,BERT,-0.2508481740951538,0.4155844155844156,1000
1,G_front_sup,5,NGNS,late,GPT,-0.46447134017944336,0.7482517482517482,1000
1,G_front_sup,5,NGNS,late,T5,-0.6955914497375488,0.7472527472527473,1000
1,G_front_sup,5,NGNS,last,BERT,-0.2077234983444214,0.13286713286713286,1000
1,G_front_sup,5,NGNS,last,GPT,-0.444011926651001,0.7552447552447552,1000
1,G_front_sup,5,NGNS,last,T5,-0.2502375841140747,0.6663336663336663,1000
1,G_insular_short,9,overall,early,BERT,-0.003345489501953125,0.5954045954045954,1000
1,G_insular_short,9,overall,early,GPT,0.0014314055442810059,0.1258741258741259,1000
1,G_insular_short,9,overall,early,T5,-0.1012108325958252,0.7472527472527473,1000
1,G_insular_short,9,overall,middle,BERT,-0.004454612731933594,0.38961038961038963,1000
1,G_insular_short,9,overall,middle,GPT,-0.005066990852355957,0.12887112887112886,1000
1,G_insular_short,9,overall,middle,T5,-0.12407350540161133,0.6203796203796204,1000
1,G_insular_short,9,overall,late,BERT,-0.009533524513244629,0.45754245754245754,1000
1,G_insular_short,9,overall,late,GPT,-0.005167722702026367,0.12087912087912088,1000
1,G_insular_short,9,overall,late,T5,-0.14600884914398193,0.6543456543456544,1000
1,G_insular_short,9,overall,last,BERT,-0.0014414787292480469,0.37362637362637363,1000
1,G_insular_short,9,overall,last,GPT,-0.0003757476806640625,0.1068931068931069,1000
1,G_insular_short,9,overall,last,T5,-0.0019030570983886719,0.47152847152847155,1000
1,G_insular_short,9,a,early,BERT,-0.012709617614746094,0.6093906093906094,1000
1,G_insular_short,9,a,early,GPT,-0.06665122509002686,0.5914085914085914,1000
1,G_insular_short,9,a,early,T5,-0.4513692855834961,0.9820179820179821,1000
1,G_insular_short,9,a,middle,BERT,-0.01383066177368164,0.46253746253746253,1000
